title,dev,pub,plat,date_release,date_certainty,date_fiction,film_relationship,canon_ish,jedi,film_chars,multiplayer,screen,screen_source,screen_source_path,screen_contributed,article_anchor
Cad Bane: Jedi Hunter,StarWars.com,StarWars.com,Web,17-12-2010,TRUE,Clone Wars,intersects,FALSE?,FALSE,TRUE,single,cad-bane-jedi-hunter.jpg,,,Cheeseness,
Lego Star Wars: Ace Assault,LEGO,LEGO,Web,01-01-2011,FALSE,All,independent,FALSE,FALSE,TRUE,single,lego-star-wars-ace-assault.jpg,,,Cheeseness,
Lego Star Wars: Ace Assault II,LEGO,LEGO,Web,02-01-2011,FALSE,All,independent,FALSE,FALSE,TRUE,single,lego-star-wars-ace-assault-ii.jpg,,,Cheeseness,
LEGO Star Wars III: The Clone Wars,TT Games,LucasArts,"Windows,Mac,PS3,Xbox 360,Wii,PSP,DS,3DS",22-03-2011,TRUE,Clone Wars,adaptation,FALSE,TRUE,TRUE,"single, multi",lego-star-wars-iii-the-clone-wars.jpg,MobyGames,http://www.mobygames.com/game/lego-star-wars-iii-the-clone-wars/screenshots,Cheeseness,lego-star-wars-iii
Star Wars: The Old Republic,BioWare,EA,Windows,13-12-2011,TRUE,Old Republic,independent,TRUE,TRUE,FALSE,mmo,star-wars-the-old-republic.jpg,Wookieepedia,http://starwars.wikia.com/wiki/File:Example_UI.jpg,Cheeseness,
Racer Rush,StarWars.com,StarWars.com,Web,01-01-2012,FALSE,Phantom,independent,FALSE,FALSE,TRUE,single,racer-rush.jpg,,,Cheeseness,
Aquatic Adventure,StarWars.com,StarWars.com,Web,03-03-2012,FALSE,Clone Wars,adaptation,TRUE?,FALSE,TRUE,single,aquatic-adventure.jpg,,,Cheeseness,
Kinect Star Wars,Terminal Reality,LucasArts,Xbox 360,03-04-2012,TRUE,Prequels,independent,FALSE,TRUE,TRUE,"single, multi",kinect-star-wars.jpg,MobyGames,http://www.mobygames.com/game/xbox360/kinect-star-wars/screenshots,Cheeseness,
Jawa Junkyard: Droids,StarWars.com,StarWars.com,Web,01-06-2012,FALSE,Trilogy,independent,TRUE?,FALSE,FALSE,single,jawa-junkyard.jpg,,,Cheeseness,
Star Wars Battle Orders,Amuzo,LEGO,"iOS,Web",05-06-2012,TRUE,"Prequels,Trilogy",independent,FALSE,TRUE,TRUE,single,star-wars-battle-orders.jpg,Brickipedia,http://lego.wikia.com/wiki/Battle_Orders,Cheeseness,
Ewok Village,Fuel,StarWars.com,Web,01-09-2012,TRUE,Trilogy,independent,TRUE?,FALSE,FALSE,single,ewok-village.jpg,,,Cheeseness,
Sith Assault,CartoonNetwork,CartoonNetwork,Web,01-09-2012,FALSE,Clone Wars,intersects,TRUE?,TRUE?,TRUE,single,sith-assault.png,,,Cheeseness,
Star Wars Glactic Spy,Soap,StarWars.com,Web,26-09-2012,FALSE,All,independent,FALSE,FALSE,TRUE,single,galactic-spy.jpg,,,Cheeseness,
Angry Birds Star Wars,Rovio,LucasArts,"iOS,Android,Mac,Windows",08-11-2012,TRUE,Trilogy,adaptation,FALSE,TRUE,TRUE,single,angry-birds-star-wars-iphone.jpg,MobyGames,http://www.mobygames.com/game/angry-birds-star-wars/screenshots,Cheeseness,
Star Wars: Clone Trooper,Jakks Pacific,Jakks Pacific,TV Game,01-01-2013,FALSE,Clone Wars,adaptation,FALSE?,FALSE,TRUE,single,,,,,
LEGO Star Wars: Advent Calendar,LEGO,LEGO,Web,05-01-2013,FALSE,Prequels,independent,FALSE,FALSE,TRUE,single,lego-star-wars-advent-calendar.jpg,,,Cheeseness,
LEGO Star Wars: The Yoda Chronicles,Amuzo,LEGO,"iOS,Android",04-04-2013,TRUE,Yoda Chronicles,adaptation,FALSE?,TRUE?,TRUE,single,,,,,
Star Wars: The Old Republic: Rise of the Hutt Cartel,BioWare,EA,Windows,09-04-2013,TRUE,Old Republic,independent,TRUE,TRUE,FALSE,mmo,star-wars-the-old-republic-rise-of-the-hutt-cartel.jpg,MobyGames,http://www.mobygames.com/game/star-wars-the-old-republic-rise-of-the-hutt-cartel/screenshots,Cheeseness,
Star Wars: Force Collection,Konami,Konami,"iOS,Android",04-09-2013,TRUE,All,independent,FALSE,FALSE,TRUE,"single, multi",,,,,
Angry Birds Star Wars II,Rovio,LucasArts,"iOS,Android,Windows",18-09-2013,TRUE,"Prequels,Rebels",adaptation,FALSE,TRUE,TRUE,single,angry-birds-star-wars-ii.jpg,MobyGames,http://www.mobygames.com/game/angry-birds-star-wars-ii/screenshots,Cheeseness,
